time;v;t;i;SOC;bal;chg
07:37:15;49,81;30,0;-65,25;97;0;0
07:37:16;50,06;30,0;-17,38;97;0;0
07:37:17;49,88;30,0;-46,88;97;0;0
07:37:18;49,81;30,0;-48,0;97;0;0
07:37:19;49,75;30,0;-66,5;97;0;0
07:37:20;49,81;30,0;-49,25;97;0;0
07:37:21;49,81;30,0;-49,75;97;0;0
07:37:22;49,69;30,0;-72,75;97;0;0
07:37:23;49,88;30,0;-19,13;97;0;0
07:37:24;49,81;30,0;-39,63;97;0;0
07:37:25;49,69;30,0;-60,25;97;0;0
07:37:26;49,63;30,0;-81,38;97;0;0
07:37:27;49,69;30,0;-60,25;97;0;0
07:37:28;49,5;30,0;-96,0;97;0;0
07:37:29;49,63;30,0;-62,0;97;0;0
07:37:30;49,63;30,0;-63,75;97;0;0
07:37:31;49,88;30,0;0;97;0;0
07:37:32;49,63;30,0;-59,0;97;0;0
07:37:33;49,75;30,0;-20,88;97;0;0
07:37:34;49,81;30,0;-16,75;97;0;0
07:37:35;49,81;30,0;-20,25;97;0;0
07:37:36;49,63;30,0;-54,25;97;0;0
07:37:37;49,38;30,0;-110,25;97;0;0
07:37:38;49,19;30,0;-142,75;97;0;0
07:37:39;49,0;30,0;-183,88;97;0;0
07:37:40;48,88;30,0;-200,63;97;0;0
07:37:41;48,81;30,0;-204,13;97;0;0
07:37:42;48,81;30,0;-201,75;97;0;0
07:37:43;48,75;30,0;-204,13;97;0;0
07:37:44;49,56;30,0;0;97;0;0
07:37:45;49,44;30,0;-40,88;97;0;0
07:37:46;49,5;30,0;-31,88;97;0;0
07:37:47;49,31;30,0;-82,25;97;0;0
07:37:48;49,56;30,0;0;97;0;0
07:37:49;48,94;30,0;-161,0;97;0;0
07:37:50;49,31;30,0;-62,63;97;0;0
07:37:51;49,31;30,0;-69,13;97;0;0
07:37:52;49,0;30,0;-144,88;97;0;0
07:37:53;48,75;30,0;-197,63;97;0;0
07:37:54;48,69;30,0;-202,38;97;0;0
07:37:55;48,63;30,0;-200,0;97;0;0
07:37:56;48,75;30,0;-179,38;97;0;0
07:37:57;49,69;30,0;63,13;97;0;0
07:37:58;50,0;30,0;116,75;97;0;0
07:37:59;49,81;30,0;67,0;97;0;0
07:38:00;49,5;30,0;-22,13;97;0;0
07:38:01;49,38;30,0;-33,13;97;0;0
07:38:02;49,56;30,0;0;97;0;0
07:38:03;49,38;30,0;-35,75;97;0;0
07:38:04;49,31;30,0;-58,13;97;0;0
07:38:05;49,38;30,0;-35,75;97;0;0
07:38:06;49,31;30,0;-50,38;97;0;0
07:38:07;49,0;30,0;-128,13;97;0;0
07:38:08;48,88;30,0;-152,25;97;0;0
07:38:09;48,75;30,0;-182,13;97;0;0
07:38:10;48,63;30,0;-200,88;97;0;0
07:38:11;49,5;30,0;18,38;97;0;0
07:38:12;49,81;30,0;89,63;97;0;0
07:38:13;49,63;30,0;25,63;97;0;0
07:38:14;49,56;30,0;12,13;97;0;0
07:38:15;49,25;30,0;-62,38;97;0;0
07:38:16;49,25;30,0;-59,63;97;0;0
07:38:17;49,38;30,0;-32,75;97;0;0
07:38:18;49,31;30,0;-43,88;97;0;0
07:38:19;48,94;30,0;-128,13;97;0;0
07:38:20;48,75;30,0;-166,63;97;0;0
07:38:21;48,56;30,0;-207,13;97;0;0
07:38:22;48,56;30,0;-206,0;97;0;0
07:38:23;48,56;30,0;-198,75;97;0;0
07:38:24;48,5;30,0;-201,5;97;0;0
07:38:25;48,56;30,0;-190,13;97;0;0
07:38:26;49,19;30,0;-28,38;97;0;0
07:38:27;48,56;30,0;-188,13;96;0;0
07:38:28;49,69;30,0;94,13;96;0;0
07:38:29;49,44;30,0;23,5;96;0;0
07:38:30;48,94;30,0;-95,75;96;0;0
07:38:31;49,25;30,0;-33,13;96;0;0
07:38:32;49,56;30,0;47,0;96;0;0
07:38:33;49,5;30,0;27,63;96;0;0
07:38:34;49,13;30,0;-64,13;96;0;0
07:38:35;49,38;30,0;0;96;0;0
07:38:36;49,19;30,0;-57,88;96;0;0
07:38:37;49,19;30,0;-50,13;96;0;0
07:38:38;49,19;30,0;-52,5;96;0;0
07:38:39;49,31;30,0;-23,25;96;0;0
07:38:40;49,31;30,0;-12,25;96;0;0
07:38:41;49,38;30,0;-10,75;96;0;0
